,title,overview,len,ger
109431,Identity Thief,"When a mild-mannered businessman learns his identity has been stolen, he hits the road in an attempt to foil the thief -- a trip that puts him in the path of a deceptively harmless-looking woman.",195,"Als ein sanftmütiger Geschäftsmann erfährt, dass seine Identität gestohlen wurde, macht er sich auf den Weg, um den Dieb zu überführen - eine Reise, die ihn in die Hände einer täuschend harmlos aussehenden Frau bringt."
42188,Never Let Me Go,"As children, Kathy, Ruth, and Tommy spend their childhood at an idyllic and secluded English boarding school. As they grow into adults, they must come to terms with the complexity and strength of their love for one another while also preparing for the haunting reality awaiting them.",283,"Als Kinder verbringen Kathy, Ruth und Tommy ihre Kindheit in einem idyllischen und abgelegenen englischen Internat. Als sie erwachsen werden, müssen sie sich mit der Komplexität und Stärke ihrer Liebe füreinander auseinandersetzen und sich gleichzeitig auf die erschütternde Realität vorbereiten, die sie erwartet."
9421,The Dinner Game,"Each week, Pierre and his friends organize what is called as ""un dîner de cons"". Everyone brings the dumbest guy he could find as a guest. Pierre thinks his champ -François Pignon- will steal the show.",201,"Jede Woche organisieren Pierre und seine Freunde ein sogenanntes ""un dîner de cons"". Jeder bringt den dümmsten Kerl, den er finden konnte, als Gast mit. Pierre glaubt, dass sein Champ - François Pignon - ihm die Show stehlen wird."
58574,Sherlock Holmes: A Game of Shadows,"There is a new criminal mastermind at large--Professor Moriarty--and not only is he Holmes’ intellectual equal, but his capacity for evil and lack of conscience may give him an advantage over the  detective.",207,"Es gibt einen neuen kriminellen Drahtzieher auf freiem Fuß - Professor Moriarty - und er ist nicht nur Holmes intellektuell ebenbürtig, sondern seine Fähigkeit zum Bösen und sein Mangel an Gewissen könnten ihm einen Vorteil gegenüber dem Detektiv verschaffen."
9426,The Fly,"When Seth Brundle makes a huge scientific and technological breakthrough in teleportation, he decides to test it on himself. Unbeknownst to him, a common housefly manages to get inside the device and the two become one.",219,"Als Seth Brundle einen großen wissenschaftlichen und technologischen Durchbruch bei der Teleportation erzielt, beschließt er, ihn an sich selbst zu testen. Unbemerkt von ihm schafft es eine gewöhnliche Stubenfliege, in das Gerät zu gelangen, und die beiden werden eins."
9427,The Full Monty,"Sheffield, England. Gaz, a jobless steelworker in need of quick cash persuades his mates to bare it all in a one-night-only strip show.",135,"Sheffield, England. Gaz, ein arbeitsloser Stahlarbeiter, der schnelles Geld braucht, überredet seine Kumpels, in einer Stripshow für eine Nacht alles zu zeigen."
9428,The Royal Tenenbaums,An estranged family of former child prodigies reunites when their father announces he has a terminal illness.,109,"Eine entfremdete Familie ehemaliger Wunderkinder kommt wieder zusammen, als ihr Vater bekannt gibt, dass er unheilbar krank ist."
9433,The Edge,"The plane carrying wealthy Charles Morse crashes down in the Alaskan wilderness. Together with the two other passengers, photographer Robert and assistant Stephen, Charles devises a plan to help them reach civilization. However, his biggest obstacle might not be the elements, or even the Kodiak bear stalking them -- it could be Robert, whom Charles suspects is having an affair with his wife and would not mind seeing him dead.",429,"Das Flugzeug mit dem wohlhabenden Charles Morse an Bord stürzt in der Wildnis Alaskas ab. Zusammen mit den beiden anderen Passagieren, dem Fotografen Robert und seinem Assistenten Stephen, schmiedet Charles einen Plan, wie sie die Zivilisation erreichen können. Sein größtes Hindernis könnten jedoch nicht die Elemente oder gar der Kodiakbär sein, der sie verfolgt - es könnte Robert sein, von dem Charles vermutet, dass er eine Affäre mit seiner Frau hat und ihn gerne tot sehen würde."
9434,Grosse Pointe Blank,"Martin Blank is a freelance hitman who starts to develop a conscience, which causes him to muff a couple of routine assignments. On the advice of his secretary and his psychiatrist, he attends his 10th year High School reunion in Grosse Pointe, Michigan.",254,"Martin Blank ist ein freiberuflicher Auftragskiller, der ein Gewissen zu entwickeln beginnt, das ihn dazu bringt, einige Routineaufträge zu verpatzen. Auf Anraten seiner Sekretärin und seines Psychiaters besucht er sein 10-jähriges Highschool-Treffen in Grosse Pointe, Michigan."
9437,Kiss the Girls,"Forensic psychologist Alex Cross travels to North Carolina and teams with escaped kidnap victim Kate McTiernan to hunt down ""Casanova,"" a serial killer who abducts strong-willed women and forces them to submit to his demands. The trail leads to Los Angeles, where the duo discovers that the psychopath may not be working alone.",327,"Die forensische Psychologin Alex Cross reist nach North Carolina und macht sich gemeinsam mit dem entlaufenen Entführungsopfer Kate McTiernan auf die Jagd nach ""Casanova"", einem Serienmörder, der willensstarke Frauen entführt und sie zwingt, seinen Forderungen nachzukommen. Die Spur führt nach Los Angeles, wo das Duo herausfindet, dass der Psychopath möglicherweise nicht allein arbeitet."
1246,Rocky Balboa,"When he loses a highly publicized virtual boxing match to ex-champ Rocky Balboa, reigning heavyweight titleholder Mason Dixon retaliates by challenging the Itallian Stallion to a nationally televised, 10-round exhibition bout. To the surprise of his son and friends, Rocky agrees to come out of retirement and face an opponent who's faster, stronger and thirty years his junior.",378,"Als er einen vielbeachteten virtuellen Boxkampf gegen Ex-Champion Rocky Balboa verliert, rächt sich der amtierende Schwergewichtstitelinhaber Mason Dixon, indem er den italienischen Hengst zu einem landesweit im Fernsehen übertragenen Schaukampf über 10 Runden herausfordert. Zur Überraschung seines Sohnes und seiner Freunde erklärt sich Rocky bereit, aus dem Ruhestand zu kommen und gegen einen Gegner anzutreten, der schneller, stärker und dreißig Jahre jünger ist als er."
1573,Die Hard 2,"John McClane is an off-duty cop gripped with a feeling of déjà vu when on a snowy Christmas Eve in the nation's capital, terrorists seize a major international airport, holding thousands of holiday travelers hostage. Renegade military commandos led by a murderous rogue officer plot to rescue a drug lord from justice and are prepared for every contingency except one: McClane's smart-mouthed heroics.",401,"John McClane ist ein Polizist außer Dienst, der von einem Déjà-vu-Gefühl gepackt wird, als an einem verschneiten Weihnachtsabend in der Hauptstadt des Landes Terroristen einen großen internationalen Flughafen in ihre Gewalt bringen und Tausende von Reisenden als Geiseln nehmen. Abtrünnige Militärkommandos, angeführt von einem mörderischen abtrünnigen Offizier, planen, einen Drogenbaron vor der Justiz zu retten und sind auf alle Eventualitäten vorbereitet - bis auf eine: McClanes klugscheißerische Heldentaten."
34016,She's Out of My League,"When he starts dating drop-dead gorgeous Molly, insecure airport security agent Kirk can't believe it. As his friends and family share their doubts about the relationship lasting, Kirk does everything he can to avoid losing Molly forever.",238,"Als er sich mit der umwerfend schönen Molly verabredet, kann der unsichere Flughafensicherheitsbeauftragte Kirk es nicht glauben. Während seine Freunde und Familie ihre Zweifel an der Dauerhaftigkeit der Beziehung äußern, setzt Kirk alles daran, Molly nicht für immer zu verlieren."
9441,Stepmom,"Jackie is a divorced mother of two. Isabel is the career minded girlfriend of Jackie’s ex-husband Luke, forced into the role of unwelcome stepmother to their children. But when Jackie discovers she is ill, both women realise they must put aside their differences to find a common ground and celebrate life to the fullest, while they have the chance.",349,"Jackie ist eine geschiedene Mutter von zwei Kindern. Isabel ist die karrierebewusste Freundin von Jackies Ex-Mann Luke und wurde in die Rolle der unwillkommenen Stiefmutter ihrer Kinder gedrängt. Doch als Jackie erfährt, dass sie krank ist, erkennen beide Frauen, dass sie ihre Differenzen beiseite legen müssen, um eine gemeinsame Basis zu finden und das Leben in vollen Zügen zu genießen, solange sie noch die Chance dazu haben."
1250,Ghost Rider,"In order to save his dying father, young stunt cyclist Johnny Blaze sells his soul to Mephistopheles and sadly parts from the pure-hearted Roxanne Simpson, the love of his life. Years later, Johnny's path crosses again with Roxanne, now a gogetting reporter, and also with Mephistopheles, who offers to release Johnny's soul if Johnny becomes the fabled, fiery Ghost Rider.",373,"Um seinen sterbenden Vater zu retten, verkauft der junge Stuntfahrer Johnny Blaze seine Seele an Mephistopheles und trennt sich traurig von der gutherzigen Roxanne Simpson, der Liebe seines Lebens. Jahre später kreuzen sich Johnnys Wege erneut mit Roxanne, die inzwischen als Reporterin unterwegs ist, und auch mit Mephistopheles, der ihm anbietet, Johnnys Seele freizugeben, wenn Johnny der sagenumwobene, feurige Ghost Rider wird."
1251,Letters from Iwo Jima,"The story of the battle of Iwo Jima between the United States and Imperial Japan during World War II, as told from the perspective of the Japanese who fought it.",161,"Die Geschichte der Schlacht von Iwo Jima zwischen den Vereinigten Staaten und dem kaiserlichen Japan während des Zweiten Weltkriegs, erzählt aus der Perspektive der Japaner, die dort gekämpft haben."
9444,Anastasia,"This animated adventure retells the story of the lost daughter of Russia's last czar. The evil Rasputin places a curse on the Romanov family, and Anastasia and her grandmother, Empress Maria, get separated. After growing up in an orphanage, Anastasia encounters two Russian men seeking a reward offered by Empress Maria for the return of her granddaughter. The trio travels to Paris, where they find that the empress has grown skeptical of imposters.",450,"Dieses Animationsabenteuer erzählt die Geschichte der verlorenen Tochter des letzten russischen Zaren neu. Der böse Rasputin belegt die Familie Romanow mit einem Fluch, und Anastasia und ihre Großmutter, Kaiserin Maria, werden getrennt. Nachdem sie in einem Waisenhaus aufgewachsen ist, trifft Anastasia auf zwei russische Männer, die auf der Suche nach einer Belohnung sind, die die Kaiserin Maria für die Rückkehr ihrer Enkelin ausgesetzt hat. Das Trio reist nach Paris, wo sie feststellen, dass die Kaiserin den Betrügern gegenüber skeptisch geworden ist."
9766,Gridiron Gang,"Teenagers at a juvenile detention center, under the leadership of their counselor, gain self-esteem by playing football together.",129,Jugendliche in einer Jugendstrafanstalt gewinnen unter der Leitung ihres Betreuers durch gemeinsames Fußballspielen an Selbstwertgefühl.
1255,The Host,"Gang-du is a dim-witted man working at his father's tiny snack bar near the Han River. One day, Gang-du's one and only daughter Hyun-seo comes back from school irritated. She is angry at her uncle, Nam-il, who visited her school as her guardian shamelessly drunk. Ignoring her father's excuses for Nam-il, Hyun-seo is soon engrossed in her aunt Nam-joo's archery tournament on TV. Meanwhile, outside of the snack bar, people are fascinated by an unidentified object hanging onto a bridge. In an instant, the object reveals itself as a terrifying creature turning the riverbank into a gruesome sea of blood¡¦ Amid the chaos, Hyun-seo is helplessly snatched up by the creature right before Gang-du's eyes. These unforeseen circumstances render the government powerless to act. But receiving a call of help from Hyun-seo, the once-ordinary citizen Gang-du and his family are thrust into a battle with the monster to rescue their beloved Hyun-seo.",943,"Gang-du ist ein dummer Mann, der in der winzigen Imbissbude seines Vaters in der Nähe des Han-Flusses arbeitet. Eines Tages kommt Gang-du's einzige Tochter Hyun-seo verärgert von der Schule zurück. Sie ist wütend auf ihren Onkel Nam-il, der als ihr Vormund schamlos betrunken ihre Schule besucht hat. Hyun-seo ignoriert die Entschuldigungen ihres Vaters für Nam-il und ist bald in das Bogenschützenturnier ihrer Tante Nam-joo im Fernsehen vertieft. Währenddessen sind die Leute außerhalb des Imbisses fasziniert von einem unbekannten Objekt, das an einer Brücke hängt. Im Nu entpuppt sich das Objekt als furchterregende Kreatur, die das Flussufer in ein grausiges Blutmeer verwandelt¡¦ Inmitten des Chaos wird Hyun-seo vor Gang-du's Augen hilflos von der Kreatur geschnappt. Diese unvorhergesehenen Umstände machen die Regierung handlungsunfähig. Doch als sie einen Hilferuf von Hyun-seo erhält, werden der einst normale Bürger Gang-du und seine Familie in einen Kampf mit dem Monster verwickelt, um ihre geliebte Hyun-seo zu retten."
1262,Stranger Than Fiction,"Everybody knows that your life is a story. But what if a story was your life? Harold Crick is your average IRS agent: monotonous, boring, and repetitive. But one day this all changes when Harold begins to hear an author inside his head narrating his life. But when the narration reveals he is going to die, Harold must find the author and convince them to change the ending.",374,"Jeder weiß, dass das eigene Leben eine Geschichte ist. Aber was wäre, wenn eine Geschichte Ihr Leben wäre? Harold Crick ist ein durchschnittlicher Finanzbeamter: eintönig, langweilig und repetitiv. Doch eines Tages ändert sich alles, als Harold beginnt, einen Autor in seinem Kopf zu hören, der sein Leben erzählt. Doch als er erfährt, dass er sterben wird, muss Harold den Autor finden und ihn davon überzeugen, das Ende zu ändern."
82695,Les Misérables,"An adaptation of the successful stage musical based on Victor Hugo's classic novel set in 19th-century France, in which a paroled prisoner named Jean Valjean seeks redemption.",175,"Die Verfilmung des erfolgreichen Bühnenmusicals nach dem Romanklassiker von Victor Hugo spielt im Frankreich des 19. Jahrhunderts, wo ein auf Bewährung entlassener Häftling namens Jean Valjean nach Erlösung sucht."
1265,Bridge to Terabithia,"Jesse Aarons trained all summer to become the fastest runner in school, so he's very upset when newcomer Leslie Burke outruns him and everyone else. Despite this and other differences, including that she's rich, he's poor, and she's a city girl, he's a country boy, the two become fast friends. Together, they create Terabithia, a land of monsters, trolls, ogres, and giants and rule as king and queen. This friendship helps Jess cope with the tragedy that makes him realize what Leslie taught him.",498,"Jesse Aarons hat den ganzen Sommer über trainiert, um der schnellste Läufer der Schule zu werden. Deshalb ist er sehr verärgert, als die neue Schülerin Leslie Burke ihn und alle anderen überholt. Trotz dieser und anderer Unterschiede - sie ist reich, er arm, sie ist ein Stadtmädchen, er ein Junge vom Land - werden die beiden schnell Freunde. Gemeinsam erschaffen sie Terabithia, ein Land der Monster, Trolle, Oger und Riesen, und regieren als König und Königin. Diese Freundschaft hilft Jess, mit der Tragödie fertig zu werden, die ihn erkennen lässt, was Leslie ihn gelehrt hat."
1266,Street Kings,"Tom Ludlow is a disillusioned L.A. Police Officer, rarely playing by the rules and haunted by the death of his wife. When evidence implicates him in the execution of a fellow officer, he is forced to go up against the cop culture he's been a part of his entire career, ultimately leading him to question the loyalties of everyone around him.",341,"Tom Ludlow ist ein desillusionierter Polizeibeamter aus L.A., der sich selten an die Regeln hält und vom Tod seiner Frau verfolgt wird. Als er durch Beweise in die Hinrichtung eines Kollegen verwickelt wird, ist er gezwungen, sich gegen die Polizeikultur zu stellen, der er während seiner gesamten Laufbahn angehörte, was ihn schließlich dazu bringt, die Loyalität aller um ihn herum in Frage zu stellen."
1267,Meet the Robinsons,"In this animated adventure, brilliant preteen inventor Lewis creates a memory scanner to retrieve his earliest recollections and find out why his mother gave him up for adoption. But when the villainous Bowler Hat Guy steals the machine, Lewis is ready to give up on his quest until the mysterious Wilbur Robinson shows up on the scene, whisking Lewis to the future to find the scanner and his mom.",398,"In diesem Zeichentrickabenteuer baut der geniale Erfinder Lewis einen Gedächtnisscanner, um seine frühesten Erinnerungen abzurufen und herauszufinden, warum seine Mutter ihn zur Adoption freigegeben hat. Doch als der schurkische Bowler Hat Guy das Gerät stiehlt, ist Lewis bereit, seine Suche aufzugeben, bis der mysteriöse Wilbur Robinson auftaucht und Lewis in die Zukunft entführt, um den Scanner und seine Mutter zu finden."
1268,Mr. Bean's Holiday,"Mr. Bean wins a trip to Cannes where he unwittingly separates a young boy from his father and must help the two come back together. On the way he discovers France, bicycling, and true love, among other things",208,"Mr. Bean gewinnt eine Reise nach Cannes, wo er unwissentlich einen kleinen Jungen von seinem Vater trennt und den beiden helfen muss, wieder zueinander zu finden. Auf dem Weg dorthin entdeckt er unter anderem Frankreich, das Fahrradfahren und die wahre Liebe."
9461,Enter the Dragon,A martial artist agrees to spy on a reclusive crime lord using his invitation to a tournament there as cover.,109,"Ein Kampfsportler erklärt sich bereit, einen zurückgezogen lebenden Verbrecher auszuspionieren und seine Einladung zu einem Turnier als Tarnung zu nutzen."
9462,Way of the Dragon,"Tang Lung arrives in Rome to help his cousins in the restaurant business. They are being pressured to sell their property to the syndicate, who will stop at nothing to get what they want. When Tang arrives he poses a new threat to the syndicate, and they are unable to defeat him. The syndicate boss hires the best Japanese and European martial artists to fight Tang, but he easily finishes them off.",400,"Tang Lung kommt nach Rom, um seinen Cousins im Restaurantgeschäft zu helfen. Sie werden unter Druck gesetzt, ihren Besitz an das Syndikat zu verkaufen, das vor nichts zurückschreckt, um das zu bekommen, was sie wollen. Als Tang eintrifft, stellt er eine neue Bedrohung für das Syndikat dar, und es gelingt ihnen nicht, ihn zu besiegen. Der Syndikatsboss heuert die besten japanischen und europäischen Kampfsportler an, um Tang zu bekämpfen, aber er macht sie mit Leichtigkeit fertig."
1271,300,"Based on Frank Miller's graphic novel, ""300"" is very loosely based the 480 B.C. Battle of Thermopylae, where the King of Sparta led his army against the advancing Persians; the battle is said to have inspired all of Greece to band together against the Persians, and helped usher in the world's first democracy.",310,"300"" basiert auf Frank Millers Graphic Novel und ist sehr lose an die Schlacht bei den Thermopylen im Jahr 480 v. Chr. angelehnt, in der der König von Sparta seine Armee gegen die vorrückenden Perser anführte; die Schlacht soll ganz Griechenland dazu inspiriert haben, sich gegen die Perser zu verbünden und die erste Demokratie der Welt zu begründen."
132344,Before Midnight,We meet Jesse and Celine nine years on in Greece. Almost two decades have passed since their first meeting on that train bound for Vienna.,138,Wir treffen Jesse und Celine neun Jahre später in Griechenland wieder. Fast zwei Jahrzehnte sind seit ihrer ersten Begegnung in dem Zug nach Wien vergangen.
1273,TMNT,"The continued adventures of the four adolescent mutated turtles gifted in the art of the ninja, as they attempt to stop a mysterious evil that threatens to end the world",169,"Die weiteren Abenteuer der vier jugendlichen mutierten Schildkröten, die in der Kunst der Ninja begabt sind und versuchen, ein mysteriöses Übel aufzuhalten, das die Welt zu vernichten droht"
109439,The Hangover Part III,"This time, there's no wedding. No bachelor party. What could go wrong, right? But when the Wolfpack hits the road, all bets are off.",132,"Dieses Mal gibt es keine Hochzeit. Kein Junggesellenabschied. Was kann da schon schiefgehen, oder? Aber wenn das Wolfpack auf Reisen geht, sind alle Wetten ungültig."
1278,The Dreamers,A young American studying in Paris in 1968 strikes up a friendship with a French brother and sister. Set against the background of the '68 Paris student riots.,159,"Ein junger Amerikaner, der 1968 in Paris studiert, schließt Freundschaft mit einem französischen Geschwisterpaar. Die Geschichte spielt vor dem Hintergrund der Pariser Studentenunruhen von 1968."
9471,Charlie's Angels: Full Throttle,"The Angels are charged with finding a pair of missing rings that are encoded with the personal information of members of the Witness Protection Program. As informants are killed, the ladies target a rogue agent who might be responsible.",236,"Die Angels haben den Auftrag, zwei verschwundene Ringe zu finden, die mit den persönlichen Daten von Mitgliedern des Zeugenschutzprogramms verschlüsselt sind. Als Informanten getötet werden, nehmen die Damen einen abtrünnigen Agenten ins Visier, der dafür verantwortlich sein könnte."
9472,DodgeBall: A True Underdog Story,"When megalomaniacal White Goodman, the owner of a trendy, high-end fitness center, makes a move to take over the struggling local gym run by happy-go-lucky Pete La Fleur, there's only one way for La Fleur to fight back: dodgeball. Aided by a dodgeball guru and Goodman's attorney, La Fleur and his rag-tag team of underdogs launch a knock-down, drag-out battle in which the winner takes all.",391,"Als der größenwahnsinnige White Goodman, der Besitzer eines trendigen High-End-Fitnesscenters, versucht, das angeschlagene örtliche Fitnessstudio des fröhlichen Pete La Fleur zu übernehmen, gibt es für La Fleur nur eine Möglichkeit, sich zu wehren: Völkerball. Mit Hilfe eines Dodgeball-Gurus und Goodmans Anwalt starten La Fleur und sein bunt zusammengewürfeltes Team von Außenseitern einen Kampf, bei dem der Gewinner alles mitnimmt."
9473,"South Park: Bigger, Longer & Uncut","When the four boys see an R-rated movie featuring Canadians Terrance and Philip, they are pronounced ""corrupted"", and their parents pressure the United States to wage war against Canada.",186,"Als die vier Jungen einen nicht jugendfreien Film mit den Kanadiern Terrance und Philip sehen, werden sie für ""verdorben"" erklärt, und ihre Eltern drängen die Vereinigten Staaten, Krieg gegen Kanada zu führen."
9474,My Name Is Nobody,"Jack Beauregard, one of the greatest gunman of the Old West, only wants to retire in peace and move to Europe. But a young gunfighter, known as ""Nobody"", who idolizes Beauregard, wants him to go out in glory. So he arranges for Jack to face the 150-man gang known as The Wild Bunch and earn his place in history.",312,"Jack Beauregard, einer der größten Revolverhelden des Alten Westens, will sich nur noch in Ruhe zur Ruhe setzen und nach Europa ziehen. Aber ein junger Revolverheld, bekannt als ""Nobody"", der Beauregard vergöttert, will, dass er ruhmreich abtritt. So arrangiert er, dass Jack gegen die 150 Mann starke Bande der ""Wild Bunch"" antritt und sich seinen Platz in der Geschichte verdient."
9475,Scent of a Woman,"Charlie Simms (Chris O'Donnell) is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade (Al Pacino), a cantankerous middle-aged man who lives with his niece and her family.",372,"Charlie Simms (Chris O'Donnell) ist ein Schüler einer privaten Vorbereitungsschule, der aus einer armen Familie stammt. Um das Geld für seinen Heimflug nach Gresham, Oregon, zu Weihnachten zu verdienen, nimmt Charlie über Thanksgiving einen Job an und kümmert sich um den pensionierten Offizier der US-Armee, Oberstleutnant Frank Slade (Al Pacino), einen mürrischen Mann mittleren Alters, der bei seiner Nichte und ihrer Familie lebt."
9476,A Knight's Tale,"William Thatcher, a peasant, is sent to apprentice with a Knight named Hector as a young boy. Urged by his father to ""change his Stars"", he assumes Sir Hector's place in a tournament when Hector dies in the middle of it. He wins. With the other apprentices, he trains and assumes the title of Sir Ulrich von Lichtenstein.",321,"William Thatcher, ein Bauer, wird als junger Bursche zu einem Ritter namens Hector in die Lehre geschickt. Von seinem Vater gedrängt, ""seine Sterne zu wechseln"", nimmt er an Sir Hectors Stelle an einem Turnier teil, als Hector mitten im Turnier stirbt. Er gewinnt. Mit den anderen Lehrlingen trainiert er und nimmt den Titel eines Sir Ulrich von Lichtenstein an."
9477,King Arthur,"This 2004 version of the Arthurian legend is different from the traditional, as it is loosely based on the ""Sarmatian hypothesis"", formulated by C. Scott Littleton and Ann C. Thomas in 1978, which holds that the Arthurian legend has a historical nucleus in the Sarmatian heavy cavalry troops stationed in Britain, and that the Roman-British military commander Lucius Artorius Castus is the historical person behind the legend.",426,"Diese Version der Artuslegende aus dem Jahr 2004 unterscheidet sich von der traditionellen, da sie lose auf der 1978 von C. Scott Littleton und Ann C. Thomas formulierten ""Sarmaten-Hypothese"" basiert, die besagt, dass die Artuslegende einen historischen Kern in den in Britannien stationierten schweren sarmatischen Kavallerietruppen hat und dass der römisch-britische Militärkommandant Lucius Artorius Castus die historische Person hinter der Legende ist."
9479,The Nightmare Before Christmas,"Tired of scaring humans every October 31 with the same old bag of tricks, Jack Skellington, the spindly king of Halloween Town, kidnaps Santa Claus and plans to deliver shrunken heads and other ghoulish gifts to children on Christmas morning. But as Christmas approaches, Jack's rag-doll girlfriend, Sally, tries to foil his misguided plans.",341,"Jack Skellington, der spindeldürre König von Halloween Town, hat es satt, die Menschen jeden 31. Oktober mit denselben Tricks zu erschrecken. Er entführt den Weihnachtsmann und plant, den Kindern am Weihnachtsmorgen Schrumpfköpfe und andere gruselige Geschenke zu bringen. Doch als Weihnachten näher rückt, versucht Jacks Flickenpuppen-Freundin Sally, seine fehlgeleiteten Pläne zu vereiteln."
9480,Daredevil,"He dwells in a world of external night, but the blackness is filled with sounds and scents, tastes and textures that most cannot perceive. Although attorney Matt Murdock is blind, his other four senses function with superhuman sharpness. By day, Murdock represents the downtrodden. At night he is Daredevil, a masked vigilante stalking the dark streets of the city, a relentless avenger of justice.",398,"Er lebt in einer Welt der äußeren Nacht, aber die Schwärze ist erfüllt von Geräuschen und Düften, Geschmäckern und Texturen, die die meisten nicht wahrnehmen können. Obwohl der Anwalt Matt Murdock blind ist, funktionieren seine anderen vier Sinne mit übermenschlicher Schärfe. Tagsüber vertritt Murdock die Unterdrückten. Nachts ist er Daredevil, ein maskierter Selbstjustizler, der durch die dunklen Straßen der Stadt schleicht, ein unerbittlicher Rächer der Gerechtigkeit."
9481,The Bone Collector,Rookie cop Amelia Donaghy reluctantly teams with Lincoln Rhyme -- formerly the department's top homicide detective but now paralyzed as a result of a spinal injury -- to catch a grisly serial killer dubbed The Bone Collector. The murderer's special signature is to leave tantalizing clues based on the grim remains of his crimes.,329,"Die junge Polizistin Amelia Donaghy arbeitet widerwillig mit Lincoln Rhyme zusammen, dem ehemals besten Mordkommissar der Abteilung, der jetzt aufgrund einer Wirbelsäulenverletzung gelähmt ist, um einen grausamen Serienmörder zu fangen, der den Namen ""Knochensammler"" trägt. Das besondere Merkmal des Mörders ist es, verlockende Hinweise zu hinterlassen, die auf den grausamen Überresten seiner Verbrechen basieren."
9482,Judge Dredd,"In a dystopian future, Dredd, the most famous judge (a cop with instant field judiciary powers) is convicted for a crime he did not commit while his murderous counterpart escapes.",179,"In einer dystopischen Zukunft wird Dredd, der berühmteste Richter (ein Polizist mit unmittelbaren richterlichen Befugnissen), für ein Verbrechen verurteilt, das er nicht begangen hat, während sein mörderischer Gegenspieler entkommt."
132363,The Butler,"A look at the life of Cecil Gaines who served eight presidents as the White House's head butler from 1952 to 1986, and had a unique front-row seat as political and racial history was made.",188,"Ein Blick auf das Leben von Cecil Gaines, der von 1952 bis 1986 acht Präsidenten als Chefbutler des Weißen Hauses diente und die politische und rassische Geschichte in der ersten Reihe miterlebte."
9486,Johnny English,Rowan plays the eponymous lead character in a spoof spy thriller. During the course of the story we follow our hero as he attempts to single-handedly save the country from falling into the hands of a despot.,207,"Rowan spielt die gleichnamige Hauptfigur in einem parodistischen Spionagethriller. Im Verlauf der Geschichte folgen wir unserem Helden, wie er versucht, das Land im Alleingang vor dem Sturz in die Hände eines Despoten zu retten."
9487,A Bug's Life,"On behalf of ""oppressed bugs everywhere,"" an inventive ant named Flik hires a troupe of warrior bugs to defend his bustling colony from a horde of freeloading grasshoppers led by the evil-minded Hopper.",202,"Im Namen der ""unterdrückten Käfer überall"" heuert eine erfinderische Ameise namens Flik eine Truppe von Kriegskäfern an, um seine geschäftige Kolonie gegen eine Horde schmarotzender Grashüpfer zu verteidigen, die von dem bösartigen Hopper angeführt werden."
9488,Spy Kids 2: The Island of Lost Dreams,"Exploring the further adventures of Carmen and Juni Cortez, who have now joined the family spy business as Level 2 OSS agents. Their new mission is to save the world from a mad scientist living on a volcanic island populated by an imaginative menagerie of creatures. On this bizarre island, none of the Cortez's gadgets work and they must rely on their wits--and each other--to survive and save the day.",403,"Die weiteren Abenteuer von Carmen und Juni Cortez, die als OSS-Agenten der Stufe 2 in das Spionagegeschäft der Familie eingestiegen sind. Ihre neue Mission ist es, die Welt vor einem verrückten Wissenschaftler zu retten, der auf einer Vulkaninsel lebt, die von einer fantasievollen Menagerie von Kreaturen bevölkert wird. Auf dieser bizarren Insel funktioniert keines der Geräte der Cortez' und sie müssen sich auf ihren Verstand - und einander - verlassen, um zu überleben und den Tag zu retten."
9489,You've Got Mail,"In this valentine to modern romance, book superstore magnate Joe Fox and independent book shop owner Kathleen Kelly fall in love in the anonymity of the Internet -- both blissfully unaware that he's trying to put her out of business.",233,"In diesem Valentinstag der modernen Romantik verlieben sich der Buchmagnat Joe Fox und die unabhängige Buchhändlerin Kathleen Kelly in der Anonymität des Internets ineinander - beide ahnen nicht, dass er versucht, sie aus dem Geschäft zu drängen."
9493,Twins,Julius and Vincent Benedict are the results of an experiment that would allow for the perfect child. Julius was planned and grows to athletic proportions. Vincent is an accident and is somewhat smaller in stature. Vincent is placed in an orphanage while Julius is taken to a south seas island and raised by philosophers. Vincent becomes the ultimate low life and is about to be killed by loan sharks.,400,"Julius und Vincent Benedict sind das Ergebnis eines Experiments, das das perfekte Kind hervorbringen sollte. Julius wurde geplant und wächst zu athletischen Proportionen heran. Vincent ist ein Unfall und von etwas kleinerer Statur. Vincent wird in einem Waisenhaus untergebracht, während Julius auf eine Südseeinsel gebracht und von Philosophen aufgezogen wird. Vincent wird zum ultimativen Abschaum und steht kurz davor, von Kredithaien getötet zu werden."
9494,Look Who's Talking,"Mollie is a single working mother who's out to find the perfect father for her child. Her baby, Mikey, prefers James, a cab driver turned babysitter who has what it takes to make them both happy. But Mollie won't even consider James. It's going to take all the tricks a baby can think of to bring them together before it's too late",331,"Mollie ist eine alleinerziehende, berufstätige Mutter, die auf der Suche nach dem perfekten Vater für ihr Kind ist. Ihr Baby Mikey bevorzugt James, einen Taxifahrer, der zum Babysitter geworden ist und das Zeug dazu hat, sie beide glücklich zu machen. Aber Mollie will James nicht einmal in Betracht ziehen. Es braucht alle Tricks, die sich ein Baby ausdenken kann, um die beiden zusammenzubringen, bevor es zu spät ist"
